SampleID,W1_m,W2_m,R_m,t_m,Mass_kg,MaxVonMisesStress_MPa,AbaqusRuntime_s
183,0.3549501,0.12298176,0.03688921,0.01816027,21.80134464,45.649532,19.31399989
184,0.37924582,0.13718688,0.06560486,0.01015402,13.8100015,71.843888,21.23500013
185,0.55009231,0.10118665,0.0355567,0.01364656,43.12924614,47.245436,32.68400002
186,0.53650605,0.1088811,0.04778723,0.01930371,57.63926311,31.498086,32.41599989
187,0.61933608,0.12610742,0.05921446,0.0131963,52.50816544,45.525112,36.97899985
188,0.63164203,0.12920003,0.03994208,0.01894911,78.30360282,36.530336,37.27700019
189,0.41048415,0.1061853,0.06811001,0.01511116,25.82116616,37.964168,23.375
190,0.38632764,0.13638336,0.03509293,0.01048676,14.82680162,85.196336,21.20900011
191,0.43341062,0.13140795,0.03372245,0.01562648,28.82873442,52.827084,23.625
192,0.63617252,0.10722939,0.05617045,0.01127051,47.94542554,49.8203,38.86299992
193,0.34576578,0.12939315,0.06125217,0.01383165,15.47843088,54.088964,18.81999993
194,0.58454498,0.13555791,0.05776383,0.01624655,56.85570782,39.338224,34.62300014
195,0.56056703,0.1406333,0.03767006,0.01192771,37.9710421,64.426352,32.10300016
196,0.43980372,0.12046341,0.05425166,0.01572712,30.49665921,41.59562,23.25900006
197,0.37288449,0.14761525,0.06932651,0.01403923,17.93465858,55.727256,18.86099982
198,0.34083204,0.11454227,0.06137762,0.01933491,21.68669273,34.775128,20.66499996
199,0.37363699,0.1203541,0.04668392,0.01152902,15.63729296,63.440504,20.83500004
200,0.51607751,0.12105884,0.05395023,0.01291647,35.19605175,48.635984,29.90899992
201,0.52491146,0.11953506,0.05626982,0.01241557,35.12076418,49.366948,31.96499991
202,0.53539505,0.13889938,0.04306632,0.01299802,37.58676254,56.27358,31.99800014
203,0.57162228,0.14821587,0.06155264,0.01662515,54.87047267,40.015904,34.47300005
204,0.39236415,0.10597503,0.04060756,0.01655902,25.58676797,41.132684,25.02399993
205,0.58739513,0.10969076,0.03837037,0.01474713,53.08706536,44.204172,36.59299994
206,0.50891086,0.14376687,0.05220197,0.01868993,48.22349126,38.166544,31.79900002
207,0.4595682,0.1193674,0.0623102,0.01042578,22.2705758,58.89066,27.44000006
208,0.68413415,0.13393252,0.0300881,0.01844753,89.71392521,41.774968,43.21599984
209,0.32431645,0.10346148,0.03589478,0.01289945,13.20047985,58.268672,18.34399986
210,0.68124565,0.13490866,0.06948965,0.01461241,70.53207812,39.840132,41.76200008
211,0.62521584,0.13322064,0.03070481,0.0109941,44.330142,70.715464,36.86500001
212,0.66838675,0.10269361,0.0665868,0.01122087,52.97574333,46.415244,43.14599991
213,0.32320347,0.12505547,0.05062527,0.01589973,15.34663556,50.820756,18.81299996
214,0.4320298,0.14181476,0.04697391,0.01366716,24.65183425,57.463364,23.26499987
215,0.52533058,0.11622349,0.04432232,0.01087955,30.88885822,59.662316,30.05699992
216,0.45085101,0.1300933,0.06586105,0.01946924,39.37752257,33.003572,23.42400002
217,0.64467206,0.10024177,0.04387585,0.0173829,76.21429188,33.854876,38.7440002
218,0.62296164,0.10248773,0.062842,0.01437028,58.73119556,37.098992,36.61599994
219,0.67637425,0.12876114,0.04648569,0.01412815,67.34547604,45.921908,41.51300001
220,0.6747755,0.12335242,0.04870477,0.01273773,60.61431886,49.031896,41.48300004
221,0.64939019,0.13071065,0.05555289,0.015537,68.00660713,39.961744,39.9610002
222,0.458956,0.12489258,0.05279843,0.01560142,32.96455029,42.7673,25.38400006
223,0.35002215,0.14420516,0.03483273,0.01571411,17.30739369,65.185812,18.67600012
